name,rating,reviews,address,website,type,lat,lng
Garfield Hartley A Dr,4.2,21,"790 Bay St. #540, Toronto, ON M5G 1N8, Canada",,"doctor, point_of_interest, health, establishment",43.66049760000001,-79.3860586
Whiteacre Laura L Dr,4.6,9,"2115 Finch Ave W, North York, ON M3N 2V6, Canada",,"doctor, point_of_interest, health, establishment",43.7542684,-79.5270378
Brampton Urgent Care Centre,2.4,755,"51 Mountainash Rd Unit #8, Brampton, ON L6R 1W4, Canada",http://www.urgentcarecentre.ca/,"doctor, health, point_of_interest, establishment",43.7605779,-79.72778439999999
Milosevic Vladimir Dr,4.9,43,"2401 Bristol Cir, Oakville, ON L6H 6P1, Canada",,"doctor, point_of_interest, health, establishment",43.5195208,-79.67831930000001
Dr. Jack Kolenda,4.1,41,"1148 Winston Churchill Blvd b4, Oakville, ON L6J 0A3, Canada",http://www.versosurgery.ca/,"doctor, health, point_of_interest, establishment",43.4994017,-79.6512717
Baqi Mahin Dr,4.4,10,"100 Humber College Blvd, Etobicoke, ON M9V 5G4, Canada",https://doctors.cpso.on.ca/DoctorDetails/Baqi-Sitwat-Mahin/0051002-64981,"doctor, point_of_interest, health, establishment",43.7314765,-79.5991956
Padonou M Dr,3.9,11,"101 Queensway W, Mississauga, ON L5B 2P7, Canada",,"doctor, point_of_interest, health, establishment",43.5721915,-79.6108682
Davisville Family Practice,3.7,47,"1881 Yonge St Floor 6, Toronto, ON M4S 3C4, Canada",http://www.davisvillefamilypractice.com/,"doctor, point_of_interest, health, establishment",43.6976717,-79.3960999
Mo Anita Dr,3,35,"1780 Markham Rd Suite 140, Toronto, ON M1B 2W2, Canada",,"doctor, health, point_of_interest, establishment",43.7949845,-79.2410472
"David R. Shaw, DPM, Podiatrist",4.4,7,"17 Alvin Ave, Toronto, ON M4T 2A7, Canada",http://www.deerparkpodiatry.com/,"doctor, health, point_of_interest, establishment",43.68904089999999,-79.39263009999999
Yonge-sheppard health Centre,4.4,87,"4773 Yonge St, #3J, ON M2N 0G2, Canada",http://ysmassagetherapy.ca/,"physiotherapist, health, point_of_interest, establishment",43.7603719,-79.4102569
Apka Health,1,1,"1200 Markham Rd, Scarborough, ON M1H 3C3, Canada",,"physiotherapist, health, point_of_interest, establishment",43.7773069,-79.2330498
Dynamic Physiotherapy (Keele Site),5,9,"9983 Keele St, Maple, ON L6A 3Y5, Canada",http://www.dynamicphysiotherapy.com/,"physiotherapist, point_of_interest, health, establishment",43.85439409999999,-79.51186059999999
CBI Health - Toronto Old Town,4.8,91,"89 Sherbourne St, Toronto, ON M5A 4S7, Canada",https://www.cbihealth.ca/locations/toronto-old-town,"physiotherapist, health, point_of_interest, establishment",43.65299199999999,-79.36881210000001
Dr. Joy Arciaga,5,24,"3500 Dufferin St #306, North York, ON M3K 1N2, Canada",https://www.yorkdalewellness.com/our-team/91-dr-joy-arciaga-bsc-d-c.html,"physiotherapist, health, point_of_interest, establishment",43.7293821,-79.4586914
High Park Physiotherapy,3.4,34,"2146 Bloor St W, Toronto, ON M6S 1M8, Canada",http://www.highparkphysiotherapy.com/,"physiotherapist, health, point_of_interest, establishment",43.65201769999999,-79.4729882
Medelco Inc,3.5,20,"370 Britannia Rd E Unit 6, Mississauga, ON L4Z 1X9, Canada",https://www.medelco.ca/,"physiotherapist, health, point_of_interest, establishment",43.6323897,-79.66793469999999
Physiomed Oakville,4.8,87,"525 Iroquois Shore Rd, Oakville, ON L6H 1M3, Canada",http://www.physiomed.ca/find-a-clinic/oakville/overview/,"physiotherapist, health, point_of_interest, establishment",43.469509,-79.680651
Central Etobicoke Therapy Centre,4.9,38,"160 The Westway, Etobicoke, ON M9P 2C1, Canada",http://www.centraletobicoketherapy.com/,"physiotherapist, health, point_of_interest, establishment",43.68914969999999,-79.54239489999999
Active Therapy & Sports Clinic,,,"1101 Kingston Rd, Pickering, ON L1V 1B5, Canada",,"physiotherapist, point_of_interest, health, establishment",43.8284312,-79.09628080000002
Russell Hill Chiropractic & Natural Health,5,40,"565 Eglinton Ave W, Toronto, ON M5N 1B5, Canada",http://www.russellhillchiropractic.com/,"gym, physiotherapist, health, point_of_interest, establishment",43.703067,-79.4148149
MyHealth Care Centre (Streetsville),4.8,54,"137 Queen St E, Mississauga, ON L5G 1N1, Canada",http://www.myhealth.ca/,"physiotherapist, point_of_interest, health, establishment",43.5595541,-79.58244590000001
York Physiotherapy Associates,4.9,51,"10909 Yonge St #205, Richmond Hill, ON L4C 3E3, Canada",https://www.yorkphysio.ca/,"physiotherapist, doctor, health, point_of_interest, establishment",43.893624,-79.4393882
FITS Toronto,4.9,29,"in Scotiabank Pond, 57 Carl Hall Rd 2nd Floor, Toronto, ON M3K 2B6, Canada",http://www.fitstoronto.com/,"physiotherapist, gym, health, point_of_interest, establishment",43.7451361,-79.4756391
Durham Physiotherapy Clinic,3.8,33,"Suite #105, 420 Green St, Whitby, ON L1N 8R1, Canada",https://sites.google.com/view/physiotherapywellnessclinic/home,"physiotherapist, health, point_of_interest, establishment",43.8761666,-78.9395821
Evolve Chiropractic and Physiotherapy,5,95,"437 Roncesvalles Ave #105, Toronto, ON M6R 3B9, Canada",http://www.evolvechiropractic.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=857389408057706864,"physiotherapist, health, point_of_interest, establishment",43.6522802,-79.4512041
Ace Physio,4.9,76,"2 Carlton St. #1522, Toronto, ON M4Y 1X4, Canada",https://acephysio.ca/?utm_source=GMB&utm_medium=organic&utm_campaign=GMBProfile,"physiotherapist, doctor, point_of_interest, health, establishment",43.66167799999999,-79.382842
WELL Health Medical Centres - Richmond Hill,3.7,139,"9325 Yonge St, Richmond Hill, ON L4C 0M7, Canada",https://wellclinics.ca/properties/uptown-health-centre-richmond-hill/,"physiotherapist, doctor, health, point_of_interest, establishment",43.856012,-79.43100400000002
PhysioNow North Oakville (formally Be in Motion Physiotherapy),4.8,55,"360 Dundas St E Unit B2, Oakville, ON L6H 6Z9, Canada",https://www.brianempeyphysio.ca/,"physiotherapist, health, point_of_interest, establishment",43.4872524,-79.7163561
Davisville Active Therapy,4.8,73,"1849 Yonge St Unit 608, Toronto, ON M4S 1Y2, Canada",https://www.davisvilleactive.com/,"physiotherapist, point_of_interest, health, establishment",43.696949,-79.3958409
Neuro-Rehab Services Inc.,4.3,6,"592 Champagne Dr, North York, ON M3J 2V6, Canada",https://www.neurorehab.ca/,"physiotherapist, health, point_of_interest, establishment",43.764687,-79.4759984
Markham Village Physiotherapy And Rehab Centre,4.9,41,"6050 York Regional Rd 7 #5, Markham, ON L3P 3A9, Canada",http://www.markhamvillagept.com/,"physiotherapist, health, point_of_interest, establishment",43.874617,-79.257785
Prohealth & Rehab Center,5,2,"3030 Lawrence Ave E #512, Scarborough, ON M1P 2T7, Canada",http://prohealthrehab.ca/,"physiotherapist, point_of_interest, health, establishment",43.7565097,-79.24794639999999
Davisville Yonge Clinics,4.9,52,"124 Merton St Suite 503, Toronto, ON M4S 2Z2, Canada",,"physiotherapist, doctor, health, point_of_interest, establishment",43.69723399999999,-79.39265929999999
Pain Relief-Relax Center,5,40,"3572 Cawthra Rd, Mississauga, ON L5A 3Y1, Canada",http://www.painreliefcenter.ca/,"physiotherapist, health, point_of_interest, establishment",43.605315,-79.61589049999999
